rankingId,rankingTitle,state,value,displayValue,direction,directionLabel,metricId
electricity-affordability,Most Affordable Electricity by State,Ohio,152.1,$152.10,asc,Lowest to highest,metricValue
electricity-affordability,Most Affordable Electricity by State,Illinois,152.64,$152.64,asc,Lowest to highest,metricValue
electricity-affordability,Most Affordable Electricity by State,Delaware,154.62,$154.62,asc,Lowest to highest,metricValue
electricity-affordability,Most Affordable Electricity by State,Pennsylvania,160.02,$160.02,asc,Lowest to highest,metricValue
electricity-affordability,Most Affordable Electricity by State,Wisconsin,162.36,$162.36,asc,Lowest to highest,metricValue
electricity-affordability,Most Affordable Electricity by State,Maryland,173.61,$173.61,asc,Lowest to highest,metricValue
electricity-affordability,Most Affordable Electricity by State,Michigan,179.19,$179.19,asc,Lowest to highest,metricValue
electricity-affordability,Most Affordable Electricity by State,New Jersey,199.35,$199.35,asc,Lowest to highest,metricValue
electricity-affordability,Most Affordable Electricity by State,Vermont,203.22,$203.22,asc,Lowest to highest,metricValue
electricity-affordability,Most Affordable Electricity by State,New Hampshire,210.15,$210.15,asc,Lowest to highest,metricValue
electricity-affordability,Most Affordable Electricity by State,New York,214.83,$214.83,asc,Lowest to highest,metricValue
electricity-affordability,Most Affordable Electricity by State,Alaska,225.09,$225.09,asc,Lowest to highest,metricValue
electricity-affordability,Most Affordable Electricity by State,Massachusetts,234.09,$234.09,asc,Lowest to highest,metricValue
electricity-affordability,Most Affordable Electricity by State,Maine,245.16,$245.16,asc,Lowest to highest,metricValue
electricity-affordability,Most Affordable Electricity by State,Rhode Island,255.78,$255.78,asc,Lowest to highest,metricValue
electricity-affordability,Most Affordable Electricity by State,Connecticut,273.15,$273.15,asc,Lowest to highest,metricValue
electricity-affordability,Most Affordable Electricity by State,California,280.26,$280.26,asc,Lowest to highest,metricValue
electricity-affordability,Most Affordable Electricity by State,Hawaii,371.7,$371.70,asc,Lowest to highest,metricValue
most-expensive-electricity,Least Affordable Electricity by State,Hawaii,371.7,$371.70,desc,Highest to lowest,metricValue
most-expensive-electricity,Least Affordable Electricity by State,California,280.26,$280.26,desc,Highest to lowest,metricValue
most-expensive-electricity,Least Affordable Electricity by State,Connecticut,273.15,$273.15,desc,Highest to lowest,metricValue
